Day ,Weekday,Event Name,Category,Time,Duration,Location,Registration needed,Dietary Restrictions,Event Location,X Coordinate,Y Coordinate,Event Description
Day 1,Sunday,Opening Ceremonies,Low Energy,1:30 PM,1 h,On Campus,No,NA,Brennan Hall,550,315,"In this event, students will be officially welcomed into the St. Michael's College community by the Orientation Coordinators! Students will also hear from President Sylvester, Principal Morra and an SMC alumni. Students will also receive a gift and get to discover UofT's biggest classroom, Convocation Hall. Convocation Hall is also where students will be graduating, which emphasizes the beginning of your new journey at UofT!"
Day 1,Sunday,Games Rotation,High Energy,3:00 PM,2.5 h,On Campus,No,NA,Orientation Field,640,140,"Feeling a little nervous about starting university? What better way to start off university than with a whirlwind of icebreakers and competitive games to meet (or destroy XD) fellow future classmates and win points for the O-Cup! As one of the first activities to do during O Week, these fun games give you an opportunity to learn about and become familiar with the spaces St. Mikes has to offer. As well, you will get a chance to experience for the first, and hopefully not the last time, what the St. Mikes community is like: a close-knit family. 

You can expect a combination of chill/sit-down games and competitve/high movement games. No matter what your comfort level is, we have something for you!

Each group will be stationed at different locaitons on the SMC campus. Please check the games rotaiton map to see where your group will be stationed. "
Day 1,Sunday,Dinner,Meals,5:30 PM,1 h,On Campus,No,"Halal, Gluten Free, Vegetarian",Orientation Field,640,140,"Feeling a little nervous about starting university? What better way to start off university than with a whirlwind of icebreakers and competitive games to meet (or destroy XD) fellow future classmates and win points for the O-Cup! As one of the first activities to do during O Week, these fun games give you an opportunity to learn about and become familiar with the spaces St. Mikes has to offer. As well, you will get a chance to experience for the first, and hopefully not the last time, what the St. Mikes community is like: a close-knit family. 

You can expect a combination of chill/sit-down games and competitve/high movement games. No matter what your comfort level is, we have something for you!

Each group will be stationed at different locaitons on the SMC campus. Please check the games rotaiton map to see where your group will be stationed. "
Day 1,Sunday,Varsity Football Game,High Energy,7:00 PM,2 h,On Campus,No,NA,Carr Hall,230,680,"Come watch UofT's Varisty Blues play agianst UOttowa's Gee Gees. Expect high energy crowds, loud chants and lots of excitement, as we cheer on our Varsity Blues Team! "
Day 2,Monday,Campus Tours,High Energy,9:00 AM,3 h,On Campus,Yes,NA,Orientation Field,640,140,"We invite you to immerse yourself in the vibrant atmosphere of our esteemed institution. Accompanied by our knowledgeable student guides, you will embark on a captivating journey through the campus, exploring its captivating architecture, modern facilities, and serene outdoor spaces. From the iconic Hart House to the renowned Robarts Library and the historic Convocation Hall, you will witness the rich history and academic excellence that defines the University of Toronto. 

Please note that each tour lasts for 2 hours. Don't forget to wear comfortable clothing, and bring water and snacks if you need it! Please sign up for a tour slot using the link below. "
Day 2,Monday,Lunch,Meals,12:00 PM,1 h,On Campus,No,"Halal, Gluten Free, Vegetarian",Orientation Field,640,140,"Lunch for Sep 4th will be Flex Bowls! Please make sure to read the ingredients and double check for allergens and dietary restrictions. 

Meal description: Choice of Chicken or Tofu our flex bowels have Rice, Quinoa, Corn, Beans, Chopped Tomatoes, cucumbers and topped with an avacoda aioli. Whole Fruit for dessert.
Ingredients:
Rice, Quinoa, Corn, Beans, Tomatoes, Cucumber, Avocado
Tofu: soy milk
Chicken breast: chicken breast, salt, pepper
Aioli: mayonnaise, lime, cumin, chili
This meal is gluten free.

Unfortunately we cannot provide food for all dietary requirements due to the large number of attendees. Therefore, if the meals provided don't accomodate your dietary requirements, we kindly ask that you bring your own food for this meal. "
Day 2,Monday,Mentorship Orientation,Educational,10:30 AM,1.5 h,On Campus,No,NA,Carr Hall,230,680,Come meet your mentors and get all of your questions answered!
Day 2,Monday,Consent for Real Life Presentation,Educational,1:00 PM,1.5 h,On Campus,No,NA,Brennan Hall,550,315,"In this engaging presentaiton by Karen BK Chan, Orientees will learn about creating a culture of consent in Orientation and beyond. Please note that attendance is mandatory for this event. 

A culture of consent is one where communication and consent are the norm in all interactions. In such a culture, individuals are respected, are not objectified, and have autonomy over their actions, bodies, and decisions. Incidents of harm and violence are not minimized. Consent is an everyday practice that needs to come before many different types of interactions. Come to the presentation to learn more about consent culture, and how to apply it to real life!"
Day 2,Monday,BIPOC Fair,Educational,2:30 PM,2.5 h,On Campus,No,NA,Alumni Hall,280,895,"In this engaging presentaiton by Karen BK Chan, Orientees will learn about creating a culture of consent in Orientation and beyond. Please note that attendance is mandatory for this event. 

A culture of consent is one where communication and consent are the norm in all interactions. In such a culture, individuals are respected, are not objectified, and have autonomy over their actions, bodies, and decisions. Incidents of harm and violence are not minimized. Consent is an everyday practice that needs to come before many different types of interactions. Come to the presentation to learn more about consent culture, and how to apply it to real life!"
Day 2,Monday,Paint,Low Energy,2:30 PM,2.5 h,On Campus,No,NA,Brennan Hall,561,315,"We will be offering you the perfect opportunity to express your artistic skills, with your new friends! All art tools including canvases will be provided for you “artists”! We are excited to see how white empty canvas will be turned into colorful sea creatures or ocean waves with under the sea theme. "
